Roll No,Name,Gender,Age,Maths,Physics,Chemistry,English,Computer,Total Marks,Percentage,Attendance (%),Extra Curricular
stu0144,januja narasimhan,femal,19,57,48,28,16,28,177,35.4,88.95,danc
stu0145,isha kurian,femal,18,57,26,69,90,70,312,62.4,79.8,drama
stu0146,yuvraj dani,male,22,89,78,45,25,16,253,50.6,76.42,music
stu0147,eesha nath,femal,19,70,27,19,48,54,218,43.6,94.92,sport
stu0148,chakradev bali,male,20,44,33,24,81,5,187,37.4,91.68,danc
stu0149,hitesh lalla,male,19,46,63,43,72,63,287,57.4,77.01,danc
stu0150,lipika sarin,femal,20,74,93,79,66,93,405,81.0,70.9,sport
stu0151,ladli bhargava,femal,22,23,52,17,79,83,254,50.8,93.89,danc
stu0153,pratyush bedi,male,21,15,8,74,19,17,133,26.6,66.87,drama
stu0154,gauri upadhyay,femal,21,23,57,44,51,97,272,54.4,95.91,scienc club
stu0155,rohan sandhu,male,17,66,67,2,87,37,259,51.8,99.99,danc
stu0156,nathaniel malhotra,male,17,63,95,95,72,17,342,68.4,76.63,sport
stu0157,pahal kar,femal,18,51,73,19,61,93,297,59.4,85.07,scienc club
stu0158,gautam kumar,male,17,75,93,54,83,47,352,70.4,92.61,danc
stu0159,ekaraj prabhakar,male,20,22,82,96,55,18,273,54.6,78.09,drama
stu0160,neel roy,male,18,9,41,48,56,4,158,31.6,70.11,sport
stu0162,pratyush gokhal,male,18,83,25,84,98,66,356,71.2,85.9,drama
stu0163,dev bhasin,male,18,23,40,58,75,44,240,48.0,79.54,danc
stu0164,zaitra jayaraman,femal,19,78,56,41,83,48,306,61.2,66.87,danc
stu0166,manya bhat,femal,19,19,46,98,39,40,242,48.4,92.41,scienc club
stu0167,ekantika mall,femal,20,63,62,91,13,69,298,59.6,71.66,music
stu0168,robert bahri,male,20,70,63,74,81,58,346,69.2,80.82,music
stu0169,wazir dutt,male,18,38,98,24,78,93,331,66.2,80.65,danc
stu0170,warhi bava,femal,20,8,25,7,4,33,77,15.4,94.72,scienc club
stu0171,ojasvi tailor,femal,21,6,53,67,50,9,185,37.0,85.0,sport
stu0172,zayan bhagat,male,20,15,31,37,10,93,186,37.2,64.27,music
stu0173,sudiksha patel,femal,20,97,75,71,32,40,315,63.0,95.06,sport
stu0174,upasna kamdar,femal,22,12,87,16,33,80,228,45.6,71.14,music
stu0176,abha bajwa,femal,18,73,93,40,73,12,291,58.2,87.78,danc
stu0177,warind saha,male,21,28,48,35,64,99,274,54.8,68.76,scienc club
stu0179,jagat thaman,male,17,4,33,76,69,51,233,46.6,93.21,sport
stu0180,vidhi chaudri,femal,20,71,22,43,16,87,239,47.8,92.3,scienc club
stu0181,anjali de,femal,18,95,86,71,5,19,276,55.2,70.62,drama
stu0182,bhavya sama,femal,20,29,51,13,92,53,238,47.6,78.86,danc
stu0183,upma barad,femal,20,73,81,61,20,12,247,49.4,62.65,sport
stu0184,dakshesh varghes,male,17,90,10,7,77,12,196,39.2,78.58,danc
stu0186,chame radhakrishnan,femal,21,22,10,27,15,11,85,17.0,79.56,scienc club
stu0188,gautam parikh,male,18,93,3,95,38,82,311,62.2,91.35,music
stu0189,kamya bumb,femal,20,17,86,88,45,2,238,47.6,87.71,danc
stu0190,onkar bal,male,21,23,92,98,8,5,226,45.2,76.14,drama
stu0191,dhriti bhardwaj,femal,21,16,85,68,65,36,270,54.0,65.59,scienc club
stu0192,leena agraw,femal,19,98,47,43,89,67,344,68.8,84.48,drama
stu0194,rushil sanghvi,male,20,17,15,66,24,94,216,43.2,93.14,drama
stu0196,ranveer gade,male,21,96,32,4,10,87,229,45.8,79.52,music
stu0197,chakrika bahl,femal,18,31,3,34,21,0,89,17.8,87.06,music
stu0200,zarna kant,femal,19,1,79,75,4,77,236,47.2,92.01,drama
stu0201,mitali varma,femal,18,14,25,13,93,12,157,31.4,91.13,danc
stu0202,ekanta kata,femal,19,24,35,44,100,24,227,45.4,98.38,drama
stu0203,adweta gopal,femal,19,79,90,77,21,97,364,72.8,72.63,drama
stu0204,jacob deshmukh,male,22,36,11,15,52,14,128,25.6,84.35,sport
stu0205,azad mohan,male,22,77,54,58,72,7,268,53.6,81.05,drama
stu0206,vaishnavi sekhon,femal,21,90,18,62,93,31,294,58.8,70.69,music
stu0207,neel muni,male,21,41,25,56,20,55,197,39.4,93.93,music
stu0208,shivani jhaveri,femal,21,56,47,78,22,96,299,59.8,79.45,drama
stu0209,varsha lall,femal,18,24,7,18,59,94,202,40.4,69.87,sport
stu0210,rudra modi,male,22,42,72,4,25,51,194,38.8,68.8,sport
stu0211,tanay sani,male,18,25,6,78,62,71,242,48.4,83.88,music
stu0212,maanav dar,male,20,47,56,33,47,85,268,53.6,82.84,danc
stu0213,upadhr yohannan,femal,18,48,100,28,100,86,362,72.4,96.75,sport
stu0214,nathaniel jaggi,male,21,10,42,59,81,17,209,41.8,80.34,drama
stu0215,yahvi mitra,femal,21,46,3,4,8,32,93,18.6,78.41,music
stu0216,teja bhalla,male,18,53,41,90,31,48,263,52.6,99.16,scienc club
stu0217,banjeet talwar,male,22,4,49,11,18,65,147,29.4,78.8,sport
stu0219,isaiah choudhuri,male,18,38,17,68,53,41,217,43.4,79.04,danc
stu0220,wriddhish barman,male,19,5,12,61,18,57,153,30.6,63.67,danc
stu0223,maanav dugal,male,19,33,57,94,89,19,292,58.4,69.94,danc
stu0225,kiaan basak,male,18,3,94,87,6,20,210,42.0,71.76,drama
stu0226,oscar kapoor,male,20,94,74,3,11,33,215,43.0,93.16,sport
stu0227,omisha mander,femal,19,40,9,14,11,91,165,33.0,97.32,drama
stu0228,lajita buch,femal,21,56,80,84,11,25,256,51.2,72.78,drama
stu0229,tarak oak,male,21,100,37,35,9,88,269,53.8,94.4,drama
stu0230,ucchal pant,femal,22,11,94,64,28,42,239,47.8,69.44,music
stu0232,rachit varti,male,19,84,28,20,56,17,205,41.0,64.84,sport
stu0233,ubika sarkar,femal,20,82,28,38,44,52,244,48.8,60.27,drama
stu0234,mahika apt,femal,20,18,24,22,38,83,185,37.0,81.42,scienc club
stu0235,neel thakkar,male,22,45,19,48,49,14,175,35.0,93.59,drama
stu0236,aditya sem,male,17,89,49,81,95,7,321,64.2,62.12,sport
stu0237,maanav dave,male,17,64,94,12,90,31,291,58.2,75.88,scienc club
stu0238,teerth keer,male,17,37,75,17,24,62,215,43.0,83.49,music
stu0239,forum kant,femal,22,34,84,59,29,34,240,48.0,80.88,scienc club
stu0240,lajita kapadia,femal,20,40,41,79,77,73,310,62.0,78.38,drama
stu0241,gagan sengupta,male,20,60,38,87,68,2,255,51.0,76.48,danc
stu0242,ekanta pandit,femal,20,7,48,68,59,76,258,51.6,93.45,sport
stu0243,bhavya dey,femal,19,61,77,83,0,13,234,46.8,89.0,danc
stu0244,veda arya,femal,19,85,89,85,24,18,301,60.2,63.16,danc
stu0245,chanakya buch,male,17,34,56,87,26,38,241,48.2,88.45,drama
stu0246,ati mahajan,femal,17,76,38,35,90,66,305,61.0,92.72,sport
stu0247,odika sachdeva,femal,19,34,10,3,94,51,192,38.4,60.92,drama
stu0248,gayathri pandey,femal,20,3,37,81,14,18,153,30.6,86.77,sport
stu0249,qushi malhotra,femal,20,65,55,62,51,21,254,50.8,76.25,sport
stu0250,nakul dhingra,male,21,24,49,45,54,85,257,51.4,89.09,drama
stu0251,jeremiah dalal,male,21,47,74,85,76,51,333,66.6,89.03,sport
stu0252,nikita narain,femal,21,100,1,78,63,23,265,53.0,66.24,music
stu0253,brijesh soni,male,19,70,74,32,86,52,314,62.8,64.53,drama
stu0255,ikshita sethi,femal,17,49,95,13,86,37,280,56.0,89.9,danc
stu0257,zarna dasgupta,femal,17,37,13,60,83,25,218,43.6,71.37,danc
stu0258,omya dhillon,femal,17,34,43,77,45,94,293,58.6,82.01,sport
stu0259,rajata patil,femal,22,30,83,75,96,40,324,64.8,95.39,music
stu0261,manya kakar,femal,18,44,20,71,58,4,197,39.4,69.9,sport
stu0262,nandini gard,femal,20,44,70,65,50,75,304,60.8,71.97,sport
stu0263,raksha singhal,femal,21,56,87,83,14,51,291,58.2,96.18,sport
stu0264,ekapad konda,male,22,32,91,58,64,78,323,64.6,75.94,drama
stu0265,naksh sampath,male,18,71,82,97,69,82,401,80.2,91.27,danc
stu0267,vansha bhakta,femal,17,23,53,71,59,4,210,42.0,61.75,sport
stu0268,omkaar gill,male,21,24,76,31,74,89,294,58.8,85.08,sport
stu0270,tanish sane,male,20,84,60,87,0,58,289,57.8,70.35,sport
stu0271,jatin sem,male,19,0,75,3,43,95,216,43.2,92.06,danc
stu0272,mohini setti,femal,21,11,55,44,10,49,169,33.8,87.66,sport
stu0273,daksh bhatt,male,17,50,43,49,99,80,321,64.2,76.21,drama
stu0274,vedant varkey,male,20,76,63,59,51,46,295,59.0,87.69,drama
stu0275,balendra bhattacharyya,male,21,50,54,95,26,87,312,62.4,68.84,drama
stu0276,anmol comar,male,19,4,93,24,0,15,136,27.2,69.55,danc
stu0277,fara divan,male,17,77,99,32,46,19,273,54.6,99.81,sport
stu0278,vasatika dave,femal,18,91,9,15,0,49,164,32.8,77.9,drama
stu0279,yash ramachandran,male,18,5,84,89,27,20,225,45.0,85.55,drama
stu0280,ishita chacko,femal,19,30,80,89,86,33,318,63.6,97.84,drama
stu0281,imaran sachar,male,22,95,0,91,21,36,243,48.6,86.43,danc
stu0282,kavya walla,femal,21,2,61,90,69,37,259,51.8,89.03,scienc club
stu0283,nidra savant,femal,22,57,81,67,84,20,309,61.8,86.65,scienc club
stu0284,bahadurjit divan,male,19,21,56,88,15,71,251,50.2,93.37,drama
stu0285,deepa varkey,femal,19,87,11,42,50,58,248,49.6,82.22,scienc club
stu0286,janaki sankaran,femal,22,54,33,71,58,15,231,46.2,76.37,danc
stu0287,devika bawa,femal,18,34,2,94,20,6,156,31.2,94.76,music
stu0288,ekta sani,femal,19,2,66,20,91,32,211,42.2,95.22,sport
stu0289,nitesh ramanathan,male,18,44,55,82,50,72,303,60.6,97.16,drama
stu0290,champak bassi,male,20,70,37,33,79,8,227,45.4,90.34,danc
stu0291,yahvi rattan,femal,20,41,6,25,3,88,163,32.6,72.47,drama
stu0292,yashvi pillay,femal,18,60,40,68,68,10,246,49.2,66.96,scienc club
stu0293,idika purohit,femal,21,88,63,37,83,53,324,64.8,91.71,danc
stu0294,gaurang modi,male,20,0,100,78,46,58,282,56.4,75.35,danc
stu0295,arya chacko,femal,18,33,22,47,53,7,162,32.4,66.62,music
stu0296,panini srivastava,femal,18,19,10,78,17,25,149,29.8,62.45,drama
stu0297,benjamin varti,male,21,48,29,43,29,62,211,42.2,97.69,music
stu0298,logan contractor,male,19,0,36,50,79,8,173,34.6,79.34,drama
stu0299,fara varughes,male,19,26,93,19,25,96,259,51.8,87.65,music
stu0300,brijesh gulati,male,22,30,58,50,73,77,288,57.6,84.85,scienc club
stu0302,yuvraj narula,male,21,79,99,22,54,93,347,69.4,73.85,danc
stu0304,ekansh shroff,male,19,44,49,71,39,99,302,60.4,94.55,music
stu0305,veda date,femal,18,84,8,19,62,56,229,45.8,84.23,sport
stu0306,chakradev luthra,male,17,16,82,58,95,58,309,61.8,60.58,danc
stu0307,unnati dutt,femal,17,34,12,20,41,99,206,41.2,71.15,scienc club
stu0309,chasmum virk,femal,20,86,77,96,41,43,343,68.6,97.78,music
stu0310,shivansh pradhan,male,22,90,10,91,36,53,280,56.0,74.63,sport
stu0311,simon kumer,male,19,99,23,93,86,23,324,64.8,82.54,sport
stu0312,bakhshi shah,male,21,73,45,66,92,18,294,58.8,78.26,music
stu0313,januja kala,femal,20,72,41,17,49,19,198,39.6,92.16,sport
stu0314,kala upadhyay,femal,20,67,44,57,15,13,196,39.2,77.24,danc
stu0315,krish hegd,male,17,11,23,32,7,5,78,15.6,63.17,scienc club
stu0316,harrison wagl,male,22,94,92,57,40,23,306,61.2,83.51,music
stu0317,nakul trivedi,male,22,100,93,100,71,73,437,87.4,92.92,music
stu0318,oscar dara,male,21,56,76,38,70,28,268,53.6,62.56,scienc club
stu0319,chasmum mukhopadhyay,femal,22,18,76,37,14,61,206,41.2,99.97,scienc club
stu0320,gagan bhandari,male,18,91,26,35,95,5,252,50.4,61.33,sport
stu0321,bhavna salvi,femal,22,26,96,15,78,40,255,51.0,80.93,scienc club
stu0323,neelima toor,femal,19,40,86,83,63,63,335,67.0,73.71,drama
stu0326,bahadurjit sen,male,19,33,72,60,54,81,300,60.0,96.26,sport
stu0327,pranit mohanti,male,22,42,50,3,98,98,291,58.2,97.14,music
stu0328,jason gaba,male,19,43,75,24,9,41,192,38.4,67.4,sport
stu0329,gaurav gade,male,21,16,6,48,74,70,214,42.8,61.06,scienc club
stu0330,nitesh iyer,male,18,70,60,42,52,24,248,49.6,81.0,drama
stu0331,keya mohanti,femal,18,40,54,35,39,25,193,38.6,90.49,danc
stu0332,pranav barad,male,20,62,0,81,44,39,226,45.2,73.08,sport
stu0334,harish kala,male,19,13,45,34,95,22,209,41.8,91.23,sport
stu0335,zansi jain,femal,21,56,55,45,50,55,261,52.2,98.08,music
stu0336,ishani pandit,femal,19,19,85,40,61,28,233,46.6,64.88,danc
stu0337,reva bakshi,femal,19,28,51,86,94,41,300,60.0,98.36,danc
stu0338,charvi chakraborti,femal,20,73,36,90,74,57,330,66.0,98.38,music
stu0339,michael golla,male,21,27,98,15,39,94,273,54.6,70.33,music
stu0340,thoma dube,male,18,5,89,83,14,66,257,51.4,76.22,danc
stu0341,avni dutta,femal,21,54,3,56,66,69,248,49.6,81.04,drama
stu0342,tripti khosla,femal,19,57,96,96,86,17,352,70.4,65.08,music
stu0343,geetika taneja,femal,17,98,84,20,73,77,352,70.4,85.58,danc
stu0344,samesh joshi,male,20,48,100,49,1,67,265,53.0,70.2,music
stu0345,ekta ramesh,femal,22,10,57,11,73,45,196,39.2,93.26,drama
stu0348,aishani dugar,femal,19,43,16,46,59,53,217,43.4,70.33,scienc club
stu0349,oni bhargava,femal,18,47,100,71,1,91,310,62.0,97.17,drama
stu0350,ekbal chandra,male,17,43,50,46,26,35,200,40.0,90.84,scienc club
stu0351,amol gokhal,male,21,5,57,50,34,63,209,41.8,86.52,music
stu0352,anthoni ramaswami,male,19,11,88,56,100,54,309,61.8,96.85,sport
stu0353,arin varughes,male,22,46,35,7,77,85,250,50.0,73.32,drama
stu0354,praneel ravi,male,18,81,85,30,60,34,290,58.0,75.01,scienc club
stu0355,wyatt krishnamurthi,male,21,89,15,98,76,36,314,62.8,95.11,music
stu0356,vyanjana sachdev,femal,18,62,96,85,83,68,394,78.8,62.65,scienc club
stu0357,zehaan apt,male,20,76,31,70,94,48,319,63.8,93.09,danc
stu0358,arjun wason,male,17,64,8,95,42,27,236,47.2,99.5,drama
stu0359,janani chawla,femal,22,59,69,18,8,82,236,47.2,63.54,music
stu0360,turvi basu,femal,21,42,27,91,20,98,278,55.6,89.74,danc
stu0361,eshana ganguli,femal,19,50,8,9,92,53,212,42.4,96.13,music
stu0363,sai sur,femal,17,13,6,14,25,34,92,18.4,75.61,drama
stu0364,veda khalsa,femal,18,34,19,100,16,25,194,38.8,76.02,music
stu0365,vyanjana sath,femal,21,83,100,14,53,88,338,67.6,83.38,danc
stu0367,warda shroff,femal,20,78,30,68,57,15,248,49.6,76.66,drama
stu0369,reva doctor,femal,20,45,77,74,20,12,228,45.6,68.47,music
stu0370,elijah shroff,male,18,60,88,76,41,94,359,71.8,99.97,sport
stu0371,radhika roy,femal,18,64,46,21,10,37,178,35.6,86.96,music
stu0373,david kalita,male,20,17,82,67,2,21,189,37.8,67.32,scienc club
stu0374,girish vya,male,22,36,9,9,8,87,149,29.8,96.42,danc
stu0375,wriddhish devan,male,21,62,85,82,0,32,261,52.2,88.73,sport
stu0376,amrita thaker,femal,18,58,71,71,27,22,249,49.8,62.36,sport
stu0377,charl sidhu,male,18,82,36,73,49,83,323,64.6,81.55,scienc club
stu0378,darsh sami,male,22,95,7,20,38,60,220,44.0,84.08,scienc club
stu0379,rehaan kothari,male,17,59,3,90,79,77,308,61.6,64.34,danc
stu0380,zehaan sengupta,male,20,28,95,39,91,47,300,60.0,86.68,scienc club
stu0381,alka borah,femal,18,38,16,7,81,9,151,30.2,92.41,sport
stu0382,ira date,femal,20,81,83,14,28,56,262,52.4,73.79,danc
stu0383,lavanya wali,femal,22,60,18,14,7,44,143,28.6,93.24,scienc club
stu0384,ojasvi da,femal,19,21,67,61,76,66,291,58.2,71.69,danc
stu0385,hiral apt,femal,18,65,8,87,1,97,258,51.6,82.13,scienc club
stu0386,ekbal sabharw,male,18,22,31,62,33,24,172,34.4,80.46,scienc club
stu0388,daksha kapoor,femal,17,18,94,49,49,17,227,45.4,67.87,scienc club
stu0389,gaurika thakkar,femal,22,27,90,24,10,93,244,48.8,84.91,sport
stu0390,david wali,male,17,81,67,41,91,62,342,68.4,91.35,scienc club
stu0391,falguni dube,femal,22,70,83,100,10,94,357,71.4,64.46,sport
stu0392,indali sule,femal,20,95,75,89,48,69,376,75.2,99.18,music
stu0393,farhan yadav,male,18,78,5,12,19,30,144,28.8,94.47,drama
stu0394,ladli peri,femal,17,14,45,33,6,37,135,27.0,76.45,drama
stu0396,naksh sharaf,male,22,86,46,88,86,89,395,79.0,89.2,music
stu0397,ganga lalla,femal,19,30,18,84,98,57,287,57.4,85.74,scienc club
stu0399,balendra lad,male,17,7,37,44,51,33,172,34.4,72.78,music
stu0401,maana sengupta,male,22,71,4,86,93,94,348,69.6,96.16,drama
stu0402,vincent sankar,male,17,92,74,66,73,13,318,63.6,89.19,scienc club
stu0403,bina patla,femal,21,21,51,89,2,21,184,36.8,65.42,drama
stu0404,harshil baral,male,18,89,4,79,72,3,247,49.4,90.1,sport
stu0405,lohit madan,male,19,33,61,78,14,20,206,41.2,87.99,drama
stu0406,eesha contractor,femal,17,13,42,42,29,73,199,39.8,66.87,sport
stu0407,yasti toor,femal,19,20,7,31,76,49,183,36.6,92.9,drama
stu0409,rudra sen,male,17,14,2,44,43,85,188,37.6,84.29,drama
stu0410,gautam choudhuri,male,20,64,82,61,55,94,356,71.2,87.79,drama
stu0411,bakhshi shah,male,21,23,44,21,55,16,159,31.8,88.37,music
stu0412,warhi vohra,femal,22,78,5,54,40,95,272,54.4,79.79,sport
stu0413,yahvi gill,femal,20,27,77,77,9,77,267,53.4,76.41,music
stu0415,jonathan kale,male,20,40,64,4,78,79,265,53.0,90.11,music
stu0416,quinci swaminathan,male,17,91,9,69,98,42,309,61.8,87.09,danc
