Roll No,Name,Gender,Age,Maths,Physics,Chemistry,English,Computer,Total Marks,Percentage,Attendance (%),Extra Curricular,Maths_Standardized,Gender_Encoded,Extra Curricular_Dance,Extra Curricular_Drama,Extra Curricular_Music,Extra Curricular_None,Extra Curricular_Science Club,Extra Curricular_Sports
STU0016,Mitesh Wagle,Male,20,92,39,37,70,6,244,48.8,67.69,Drama,1.4451654304032564,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0017,Matthew Devan,Male,21,13,0,33,12,93,151,30.2,91.4,Drama,-1.2736397944456972,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0018,Kavya Toor,Female,18,60,25,83,23,48,239,47.8,93.38,Dance,0.3438772380593764,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0019,Vedhika Nayar,Female,20,62,9,24,100,26,221,44.2,72.96,Music,0.4127077500808689,0,0.0,0.0,1.0,0.0,0.0,0.0
STU0020,Lakshit Bala,Male,22,78,80,21,91,50,320,64.0,73.87,Science Club,0.9633518462528089,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0021,Yashawini Date,Female,19,46,19,100,70,90,325,65.0,87.26,Music,-0.13793634609107105,0,0.0,0.0,1.0,0.0,0.0,0.0
STU0022,Veer Bhakta,Male,20,99,26,58,83,46,312,62.4,87.12,Science Club,1.68607222247848,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0023,Harini Varkey,Female,19,85,83,93,99,67,427,85.4,98.54,Dance,1.2042586383280327,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0024,Aarav Thakur,Male,19,13,54,29,93,41,230,46.0,89.88,Sports,-1.2736397944456972,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0025,Agastya Bhatt,Male,19,43,17,57,75,90,282,56.4,81.82,Sports,-0.2411821141233098,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0026,Elijah Kala,Male,17,12,31,7,58,89,197,39.4,90.4,Dance,-1.3080550504564434,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0027,Vasatika Solanki,Female,18,77,53,82,68,43,323,64.6,97.61,Music,0.9289365902420627,0,0.0,0.0,1.0,0.0,0.0,0.0
STU0028,Hitesh Mutti,Male,17,41,81,6,85,60,273,54.6,88.91,Science Club,-0.3100126261448023,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0029,Upasna Prasad,Female,21,64,13,28,46,61,212,42.4,93.58,Sports,0.4815382621023614,0,0.0,0.0,0.0,0.0,0.0,1.0
STU0030,Yasti Mander,Female,18,76,93,77,93,8,347,69.4,89.01,Dance,0.8945213342313164,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0031,Gautam Ganesh,Male,20,14,100,100,97,47,358,71.6,66.39,Dance,-1.239224538434951,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0032,Amrita Narain,Female,18,30,24,35,57,43,189,37.8,71.7,Drama,-0.6885804422630111,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0033,Bakhshi Shanker,Male,22,29,20,15,17,28,109,21.8,76.55,Sports,-0.7229956982737573,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0034,Gaurika Mammen,Female,20,9,1,90,43,24,167,33.4,68.83,Science Club,-1.4113008184886822,0,0.0,0.0,0.0,0.0,1.0,0.0
STU0035,Gaurang Bains,Male,22,50,18,39,80,52,239,47.8,81.61,None,-0.0002753220480860619,1,0.0,0.0,0.0,1.0,0.0,0.0
STU0036,Maya Kalla,Female,17,50,39,49,65,28,231,46.2,94.93,None,-0.0002753220480860619,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0037,Ronith Korpal,Male,22,47,6,22,85,29,189,37.8,88.57,Dance,-0.10352109008032481,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0038,Bahadurjit Saini,Male,19,70,82,55,59,30,296,59.2,98.0,Drama,0.688029798166839,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0039,Frado Rajagopalan,Male,21,53,53,9,31,95,241,48.2,85.38,Science Club,0.10297044598415268,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0040,Jonathan Muni,Male,18,78,57,34,50,34,253,50.6,66.11,None,0.9633518462528089,1,0.0,0.0,0.0,1.0,0.0,0.0
STU0041,Matthew Kanda,Male,17,65,33,14,26,51,189,37.8,79.64,Science Club,0.5159535181131076,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0042,Eesha Natarajan,Female,20,66,51,62,49,49,277,55.4,88.29,Drama,0.5503687741238539,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0043,Oscar Sharaf,Male,17,100,99,1,9,27,236,47.2,96.83,Drama,1.7204874784892263,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0044,Gaurang Hans,Male,17,52,44,39,39,68,242,48.4,85.32,Drama,0.06855518997340644,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0045,Varsha Sarma,Female,22,18,45,45,96,0,204,40.8,86.49,Dance,-1.101563514391966,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0046,Unnati Palan,Female,18,60,27,50,62,10,209,41.8,66.75,None,0.3438772380593764,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0047,Reyansh Goyal,Male,20,29,35,1,3,93,161,32.2,79.25,Drama,-0.7229956982737573,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0048,Dhriti Kulkarni,Female,18,88,81,45,45,52,311,62.2,62.74,Drama,1.3075044063602714,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0049,Kamya Sibal,Female,21,49,7,90,100,37,283,56.6,73.16,Sports,-0.03469057805883231,0,0.0,0.0,0.0,0.0,0.0,1.0
STU0050,Oni Sahota,Female,22,56,46,98,77,86,363,72.6,97.64,None,0.20621621401639142,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0051,Brinda Purohit,Female,20,61,34,62,64,11,232,46.4,73.7,Music,0.37829249407012266,0,0.0,0.0,1.0,0.0,0.0,0.0
STU0052,Lakshit Boase,Male,18,37,10,70,37,20,174,34.8,87.58,Sports,-0.44767365018778726,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0053,Vedika Uppal,Female,20,43,94,48,79,6,270,54.0,66.19,None,-0.2411821141233098,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0054,Vedhika Doctor,Female,21,47,53,64,47,83,294,58.8,95.2,None,-0.10352109008032481,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0055,Praneel Subramaniam,Male,18,72,58,98,33,78,339,67.8,76.94,Drama,0.7568603101883314,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0056,Vritti Vaidya,Female,21,38,72,32,63,65,270,54.0,83.86,Science Club,-0.413258394177041,0,0.0,0.0,0.0,0.0,1.0,0.0
STU0057,Nitesh Saran,Male,22,89,45,30,99,36,299,59.8,80.98,Dance,1.3419196623710177,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0058,Vivaan Bumb,Male,20,31,95,60,21,31,238,47.6,95.83,Drama,-0.6541651862522648,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0059,Vamakshi Deo,Female,18,67,77,93,81,41,359,71.8,96.0,Dance,0.5847840301346001,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0060,Ekaraj Barad,Male,20,45,34,100,51,72,302,60.4,78.56,Dance,-0.1723516021018173,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0061,Ucchal Sandal,Female,18,71,17,68,2,66,224,44.8,62.11,Drama,0.7224450541775852,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0062,Gaurang Dara,Male,22,80,66,63,83,63,355,71.0,99.68,Science Club,1.0321823582743015,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0063,Leena Thaman,Female,19,45,53,88,44,26,256,51.2,70.53,Dance,-0.1723516021018173,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0064,Kamala Bhattacharyya,Female,20,76,32,32,92,98,330,66.0,63.81,Science Club,0.8945213342313164,0,0.0,0.0,0.0,0.0,1.0,0.0
STU0065,Jeevika Raghavan,Female,19,38,97,88,31,99,353,70.6,71.35,Science Club,-0.413258394177041,0,0.0,0.0,0.0,0.0,1.0,0.0
STU0066,Chatresh Chad,Male,18,55,39,55,81,80,310,62.0,64.08,Dance,0.17180095800564518,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0067,Oviya Mall,Female,22,78,54,83,16,6,237,47.4,60.22,None,0.9633518462528089,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0068,Samarth Krishnamurthy,Male,17,57,31,63,57,80,288,57.6,96.56,None,0.24063147002713767,1,0.0,0.0,0.0,1.0,0.0,0.0
STU0069,Abha Garg,Female,21,56,44,61,39,29,229,45.8,96.13,None,0.20621621401639142,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0070,Nitara Chand,Female,18,61,70,53,4,64,252,50.4,88.3,Dance,0.37829249407012266,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0071,Balvan Doctor,Male,20,100,52,33,96,4,285,57.0,93.86,Drama,1.7204874784892263,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0072,Neel Amble,Male,19,1,25,92,45,58,221,44.2,94.15,Science Club,-1.6866228665746523,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0073,William Randhawa,Male,19,7,44,11,76,76,214,42.8,64.16,None,-1.4801313305101746,1,0.0,0.0,0.0,1.0,0.0,0.0
STU0074,Sachi Mall,Female,20,12,40,46,0,59,157,31.4,80.53,Dance,-1.3080550504564434,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0075,Diya Tandon,Female,22,69,73,69,72,12,295,59.0,90.06,None,0.6536145421560926,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0076,Veda Subramanian,Female,17,48,62,43,67,24,244,48.8,87.4,None,-0.06910583406957856,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0077,Odika Toor,Female,19,44,70,34,47,84,279,55.8,80.6,None,-0.20676685811256354,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0078,Wakeeta Narang,Female,17,28,89,20,71,64,272,54.4,87.8,None,-0.7574109542845036,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0079,Jonathan Sagar,Male,18,59,24,41,99,49,272,54.4,92.78,None,0.3094619820486302,1,0.0,0.0,0.0,1.0,0.0,0.0
STU0080,Wahab Gupta,Male,18,84,66,27,57,71,305,61.0,64.89,Science Club,1.1698433823172865,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0081,Upma Varghese,Female,18,41,40,26,26,25,158,31.6,72.92,None,-0.3100126261448023,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0082,Deepa Narayanan,Female,22,15,79,43,62,7,206,41.2,79.24,Sports,-1.2048092824242047,0,0.0,0.0,0.0,0.0,0.0,1.0
STU0083,Quincy Chawla,Male,21,65,56,12,18,91,242,48.4,76.75,Dance,0.5159535181131076,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0084,Darika Lala,Female,18,62,2,21,63,53,201,40.2,86.17,Drama,0.4127077500808689,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0085,Ishanvi Ganguly,Female,18,16,90,62,56,95,319,63.8,97.52,Dance,-1.1703940264134585,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0086,Urishilla Shukla,Female,19,37,0,85,78,64,264,52.8,74.09,Sports,-0.44767365018778726,0,0.0,0.0,0.0,0.0,0.0,1.0
STU0087,Hredhaan Chatterjee,Male,22,97,6,22,85,92,302,60.4,89.91,Sports,1.6172417104569876,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0088,Kiaan Golla,Male,18,68,52,15,56,36,227,45.4,70.89,Music,0.6191992861453464,1,0.0,0.0,1.0,0.0,0.0,0.0
STU0089,Ria Dalal,Female,22,94,40,53,93,42,322,64.4,85.6,Science Club,1.5139959424247489,0,0.0,0.0,0.0,0.0,1.0,0.0
STU0090,Maya Ghose,Female,20,93,84,10,7,11,205,41.0,70.02,Dance,1.4795806864140026,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0091,Hitesh Savant,Male,18,68,24,96,51,41,280,56.0,64.99,Sports,0.6191992861453464,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0092,Pranav Badal,Male,20,61,45,0,64,37,207,41.4,80.92,Dance,0.37829249407012266,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0093,Indali Cheema,Female,19,2,19,78,6,79,184,36.8,75.04,Drama,-1.652207610563906,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0094,Darsh Kanda,Male,19,77,45,2,43,32,199,39.8,76.42,None,0.9289365902420627,1,0.0,0.0,0.0,1.0,0.0,0.0
STU0095,Siddharth Magar,Male,22,23,40,85,99,93,340,68.0,98.67,Dance,-0.9294872343382348,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0096,Jonathan Dutt,Male,19,62,64,36,93,66,321,64.2,61.63,Dance,0.4127077500808689,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0097,Girindra Ganguly,Male,22,7,98,99,61,76,341,68.2,68.03,Drama,-1.4801313305101746,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0098,Vrishti Desai,Female,17,30,53,17,13,83,196,39.2,73.45,Science Club,-0.6885804422630111,0,0.0,0.0,0.0,0.0,1.0,0.0
STU0099,Aahana Raghavan,Female,21,16,85,57,7,31,196,39.2,76.24,None,-1.1703940264134585,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0100,Rohan Randhawa,Male,17,21,1,24,82,59,187,37.4,72.02,Dance,-0.9983177463597273,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0101,Charles Gandhi,Male,20,56,58,73,10,84,281,56.2,77.38,Science Club,0.20621621401639142,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0102,Benjamin Agarwal,Male,21,26,8,57,87,13,191,38.2,67.95,Sports,-0.826241466305996,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0103,Avi Mitra,Male,18,34,31,92,86,40,283,56.6,69.32,Dance,-0.550919418220026,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0104,Fariq Deol,Male,17,44,40,100,34,6,224,44.8,80.02,Sports,-0.20676685811256354,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0105,Vrinda Sheth,Female,19,93,3,42,29,77,244,48.8,77.11,Music,1.4795806864140026,0,0.0,0.0,1.0,0.0,0.0,0.0
STU0106,Owen Agarwal,Male,17,12,8,44,28,64,156,31.2,67.77,Science Club,-1.3080550504564434,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0107,Eta Chander,Female,17,88,31,55,47,22,243,48.6,63.68,Sports,1.3075044063602714,0,0.0,0.0,0.0,0.0,0.0,1.0
STU0108,Farhan Kara,Male,17,55,25,21,25,35,161,32.2,65.79,Sports,0.17180095800564518,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0109,Riya Gara,Female,19,27,87,26,21,89,250,50.0,93.29,Music,-0.7918262102952498,0,0.0,0.0,1.0,0.0,0.0,0.0
STU0110,Aishani Ramakrishnan,Female,21,89,70,10,52,83,304,60.8,70.76,Drama,1.3419196623710177,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0111,Nidhi Subramaniam,Female,19,37,43,53,11,86,230,46.0,60.59,None,-0.44767365018778726,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0112,Chaitaly Tandon,Female,21,62,28,37,57,19,203,40.6,60.77,Drama,0.4127077500808689,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0113,Girish Krish,Male,19,59,98,83,23,64,327,65.4,98.87,None,0.3094619820486302,1,0.0,0.0,0.0,1.0,0.0,0.0
STU0114,Ridhi Gulati,Female,21,34,100,17,93,30,274,54.8,92.59,Drama,-0.550919418220026,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0115,Harshil Kumar,Male,22,16,22,41,45,85,209,41.8,62.66,Drama,-1.1703940264134585,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0116,Naveen Sekhon,Male,20,6,28,56,3,5,98,19.6,71.54,Drama,-1.514546586520921,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0117,Wyatt Rout,Male,19,2,19,8,94,9,132,26.4,89.35,Sports,-1.652207610563906,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0118,Ubika Dass,Female,17,37,31,30,75,91,264,52.8,75.1,Music,-0.44767365018778726,0,0.0,0.0,1.0,0.0,0.0,0.0
STU0119,Edhitha Balasubramanian,Female,20,23,85,55,4,4,171,34.2,72.27,None,-0.9294872343382348,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0120,Mitali Tailor,Female,22,90,25,63,83,43,304,60.8,96.4,Drama,1.376334918381764,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0121,Kai Dugal,Male,20,47,82,81,95,63,368,73.6,89.35,None,-0.10352109008032481,1,0.0,0.0,0.0,1.0,0.0,0.0
STU0122,Sneha Kanda,Female,22,85,30,35,19,21,190,38.0,83.11,Drama,1.2042586383280327,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0123,Theodore Nagar,Male,20,94,58,76,96,90,414,82.8,78.31,Drama,1.5139959424247489,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0124,Triveni Khalsa,Female,21,82,56,90,29,55,312,62.4,96.82,Music,1.101012870295794,0,0.0,0.0,1.0,0.0,0.0,0.0
STU0125,Neha Minhas,Female,17,23,25,30,42,59,179,35.8,63.95,Drama,-0.9294872343382348,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0126,Lakshit Vig,Male,22,10,57,32,60,35,194,38.8,79.85,Drama,-1.376885562477936,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0127,Naksh Viswanathan,Male,22,50,79,3,90,56,278,55.6,97.57,Science Club,-0.0002753220480860619,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0128,Eshana Parikh,Female,18,27,96,32,22,15,192,38.4,67.89,Music,-0.7918262102952498,0,0.0,0.0,1.0,0.0,0.0,0.0
STU0129,Advika Khosla,Female,18,44,32,24,31,49,180,36.0,80.07,Drama,-0.20676685811256354,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0130,Aditya Talwar,Male,21,28,78,89,97,77,369,73.8,90.62,Science Club,-0.7574109542845036,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0131,Fariq Ray,Male,17,63,51,97,78,18,307,61.4,89.54,Science Club,0.44712300609161515,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0132,Bhanumati Lalla,Female,22,23,32,89,96,7,247,49.4,96.52,Dance,-0.9294872343382348,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0133,Advay Sarna,Male,22,91,88,35,85,86,385,77.0,73.07,Drama,1.4107501743925102,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0134,Naksh Dass,Male,22,80,53,38,69,75,315,63.0,61.24,None,1.0321823582743015,1,0.0,0.0,0.0,1.0,0.0,0.0
STU0135,Fiyaz Khosla,Male,21,41,77,92,84,38,332,66.4,76.38,None,-0.3100126261448023,1,0.0,0.0,0.0,1.0,0.0,0.0
STU0136,Bhavna Badal,Female,21,77,14,97,5,75,268,53.6,73.01,Science Club,0.9289365902420627,0,0.0,0.0,0.0,0.0,1.0,0.0
STU0137,Avi Lal,Male,22,12,25,59,32,28,156,31.2,76.97,Sports,-1.3080550504564434,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0138,Mitesh Tandon,Male,21,83,75,91,58,5,312,62.4,87.07,Science Club,1.1354281263065402,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0139,Chatura Chatterjee,Male,21,47,57,83,11,1,199,39.8,70.88,Sports,-0.10352109008032481,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0140,Tara Batta,Female,17,32,47,60,28,45,212,42.4,80.23,Sports,-0.6197499302415185,0,0.0,0.0,0.0,0.0,0.0,1.0
STU0141,Jonathan Vora,Male,17,16,23,61,88,17,205,41.0,79.52,Drama,-1.1703940264134585,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0142,Manbir Sarraf,Male,19,9,49,76,31,81,246,49.2,62.94,Science Club,-1.4113008184886822,1,0.0,0.0,0.0,0.0,1.0,0.0
STU0143,Advik Kibe,Male,19,92,66,21,23,51,253,50.6,80.68,Music,1.4451654304032564,1,0.0,0.0,1.0,0.0,0.0,0.0
STU0144,Januja Narasimhan,Female,19,57,48,28,16,28,177,35.4,88.95,Dance,0.24063147002713767,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0145,Isha Kurian,Female,18,57,26,69,90,70,312,62.4,79.8,Drama,0.24063147002713767,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0146,Yuvraj Dani,Male,22,89,78,45,25,16,253,50.6,76.42,Music,1.3419196623710177,1,0.0,0.0,1.0,0.0,0.0,0.0
STU0147,Eesha Nath,Female,19,70,27,19,48,54,218,43.6,94.92,Sports,0.688029798166839,0,0.0,0.0,0.0,0.0,0.0,1.0
STU0148,Chakradev Bali,Male,20,44,33,24,81,5,187,37.4,91.68,Dance,-0.20676685811256354,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0149,Hitesh Lalla,Male,19,46,63,43,72,63,287,57.4,77.01,Dance,-0.13793634609107105,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0150,Lipika Sarin,Female,20,74,93,79,66,93,405,81.0,70.9,Sports,0.8256908222098239,0,0.0,0.0,0.0,0.0,0.0,1.0
STU0151,Ladli Bhargava,Female,22,23,52,17,79,83,254,50.8,93.89,Dance,-0.9294872343382348,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0152,Mohammed Chana,Male,22,59,79,51,29,88,306,61.2,73.29,None,0.3094619820486302,1,0.0,0.0,0.0,1.0,0.0,0.0
STU0153,Pratyush Bedi,Male,21,15,8,74,19,17,133,26.6,66.87,Drama,-1.2048092824242047,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0154,Gauri Upadhyay,Female,21,23,57,44,51,97,272,54.4,95.91,Science Club,-0.9294872343382348,0,0.0,0.0,0.0,0.0,1.0,0.0
STU0155,Rohan Sandhu,Male,17,66,67,2,87,37,259,51.8,99.99,Dance,0.5503687741238539,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0156,Nathaniel Malhotra,Male,17,63,95,95,72,17,342,68.4,76.63,Sports,0.44712300609161515,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0157,Pahal Kar,Female,18,51,73,19,61,93,297,59.4,85.07,Science Club,0.034139933962660185,0,0.0,0.0,0.0,0.0,1.0,0.0
STU0158,Gautam Kumar,Male,17,75,93,54,83,47,352,70.4,92.61,Dance,0.8601060782205702,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0159,Ekaraj Prabhakar,Male,20,22,82,96,55,18,273,54.6,78.09,Drama,-0.963902490348981,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0160,Neel Roy,Male,18,9,41,48,56,4,158,31.6,70.11,Sports,-1.4113008184886822,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0161,Dalbir Lala,Male,18,61,30,62,69,82,304,60.8,88.41,None,0.37829249407012266,1,0.0,0.0,0.0,1.0,0.0,0.0
STU0162,Pratyush Gokhale,Male,18,83,25,84,98,66,356,71.2,85.9,Drama,1.1354281263065402,1,0.0,1.0,0.0,0.0,0.0,0.0
STU0163,Dev Bhasin,Male,18,23,40,58,75,44,240,48.0,79.54,Dance,-0.9294872343382348,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0164,Zaitra Jayaraman,Female,19,78,56,41,83,48,306,61.2,66.87,Dance,0.9633518462528089,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0165,Meera Devan,Female,19,1,42,94,63,67,267,53.4,92.69,None,-1.6866228665746523,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0166,Manya Bhat,Female,19,19,46,98,39,40,242,48.4,92.41,Science Club,-1.0671482583812197,0,0.0,0.0,0.0,0.0,1.0,0.0
STU0167,Ekantika Mall,Female,20,63,62,91,13,69,298,59.6,71.66,Music,0.44712300609161515,0,0.0,0.0,1.0,0.0,0.0,0.0
STU0168,Robert Bahri,Male,20,70,63,74,81,58,346,69.2,80.82,Music,0.688029798166839,1,0.0,0.0,1.0,0.0,0.0,0.0
STU0169,Wazir Dutt,Male,18,38,98,24,78,93,331,66.2,80.65,Dance,-0.413258394177041,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0170,Warhi Bava,Female,20,8,25,7,4,33,77,15.4,94.72,Science Club,-1.4457160744994284,0,0.0,0.0,0.0,0.0,1.0,0.0
STU0171,Ojasvi Tailor,Female,21,6,53,67,50,9,185,37.0,85.0,Sports,-1.514546586520921,0,0.0,0.0,0.0,0.0,0.0,1.0
STU0172,Zayan Bhagat,Male,20,15,31,37,10,93,186,37.2,64.27,Music,-1.2048092824242047,1,0.0,0.0,1.0,0.0,0.0,0.0
STU0173,Sudiksha Patel,Female,20,97,75,71,32,40,315,63.0,95.06,Sports,1.6172417104569876,0,0.0,0.0,0.0,0.0,0.0,1.0
STU0174,Upasna Kamdar,Female,22,12,87,16,33,80,228,45.6,71.14,Music,-1.3080550504564434,0,0.0,0.0,1.0,0.0,0.0,0.0
