Roll No,Name,Gender,Age,Maths,Physics,Chemistry,English,Computer,Total Marks,Percentage,Attendance (%),Extra Curricular
STU0143,Advik Kibe,Male,19,92,66,21,23,51,253,50.6,80.68,Music
STU0144,Januja Narasimhan,Female,19,57,48,28,16,28,177,35.4,88.95,Dance
STU0145,Isha Kurian,Female,18,57,26,69,90,70,312,62.4,79.8,Drama
STU0146,Yuvraj Dani,Male,22,89,78,45,25,16,253,50.6,76.42,Music
STU0147,Eesha Nath,Female,19,70,27,19,48,54,218,43.6,94.92,Sports
STU0148,Chakradev Bali,Male,20,44,33,24,81,5,187,37.4,91.68,Dance
STU0149,Hitesh Lalla,Male,19,46,63,43,72,63,287,57.4,77.01,Dance
STU0150,Lipika Sarin,Female,20,74,93,79,66,93,405,81,70.9,Sports
STU0151,Ladli Bhargava,Female,22,23,52,17,79,83,254,50.8,93.89,Dance
STU0152,Mohammed Chana,Male,22,59,79,51,29,88,306,61.2,73.29,None
STU0153,Pratyush Bedi,Male,21,15,8,74,19,17,133,26.6,66.87,Drama
STU0154,Gauri Upadhyay,Female,21,23,57,44,51,97,272,54.4,95.91,Science Club
STU0155,Rohan Sandhu,Male,17,66,67,2,87,37,259,51.8,99.99,Dance
STU0156,Nathaniel Malhotra,Male,17,63,95,95,72,17,342,68.4,76.63,Sports
STU0157,Pahal Kar,Female,18,51,73,19,61,93,297,59.4,85.07,Science Club
STU0158,Gautam Kumar,Male,17,75,93,54,83,47,352,70.4,92.61,Dance
STU0159,Ekaraj Prabhakar,Male,20,22,82,96,55,18,273,54.6,78.09,Drama
STU0160,Neel Roy,Male,18,9,41,48,56,4,158,31.6,70.11,Sports
STU0161,Dalbir Lala,Male,18,61,30,62,69,82,304,60.8,88.41,None
STU0162,Pratyush Gokhale,Male,18,83,25,84,98,66,356,71.2,85.9,Drama
STU0163,Dev Bhasin,Male,18,23,40,58,75,44,240,48,79.54,Dance
STU0164,Zaitra Jayaraman,Female,19,78,56,41,83,48,306,61.2,66.87,Dance
STU0165,Meera Devan,Female,19,1,42,94,63,67,267,53.4,92.69,None
STU0166,Manya Bhat,Female,19,19,46,98,39,40,242,48.4,92.41,Science Club
STU0167,Ekantika Mall,Female,20,63,62,91,13,69,298,59.6,71.66,Music
STU0168,Robert Bahri,Male,20,70,63,74,81,58,346,69.2,80.82,Music
STU0169,Wazir Dutt,Male,18,38,98,24,78,93,331,66.2,80.65,Dance
STU0170,Warhi Bava,Female,20,8,25,7,4,33,77,15.4,94.72,Science Club
STU0171,Ojasvi Tailor,Female,21,6,53,67,50,9,185,37,85,Sports
STU0172,Zayan Bhagat,Male,20,15,31,37,10,93,186,37.2,64.27,Music
STU0173,Sudiksha Patel,Female,20,97,75,71,32,40,315,63,95.06,Sports
STU0174,Upasna Kamdar,Female,22,12,87,16,33,80,228,45.6,71.14,Music
STU0175,Vedant Maharaj,Male,18,54,17,0,66,58,195,39,81.38,None
STU0176,Abha Bajwa,Female,18,73,93,40,73,12,291,58.2,87.78,Dance
STU0177,Warinder Saha,Male,21,28,48,35,64,99,274,54.8,68.76,Science Club
STU0178,Indali Dhaliwal,Female,19,39,0,69,45,95,248,49.6,60.12,None
STU0179,Jagat Thaman,Male,17,4,33,76,69,51,233,46.6,93.21,Sports
STU0180,Vidhi Chaudry,Female,20,71,22,43,16,87,239,47.8,92.3,Science Club
STU0181,Anjali De,Female,18,95,86,71,5,19,276,55.2,70.62,Drama
STU0182,Bhavya Sama,Female,20,29,51,13,92,53,238,47.6,78.86,Dance
STU0183,Upma Barad,Female,20,73,81,61,20,12,247,49.4,62.65,Sports
STU0184,Dakshesh Varghese,Male,17,90,10,7,77,12,196,39.2,78.58,Dance
STU0185,Pallavi Lala,Female,22,18,59,78,72,84,311,62.2,63.8,None
STU0186,Chameli Radhakrishnan,Female,21,22,10,27,15,11,85,17,79.56,Science Club
STU0187,Arunima Deshmukh,Female,17,59,32,6,83,9,189,37.8,63.7,None
STU0188,Gautam Parikh,Male,18,93,3,95,38,82,311,62.2,91.35,Music
STU0189,Kamya Bumb,Female,20,17,86,88,45,2,238,47.6,87.71,Dance
STU0190,Onkar Bal,Male,21,23,92,98,8,5,226,45.2,76.14,Drama
STU0191,Dhriti Bhardwaj,Female,21,16,85,68,65,36,270,54,65.59,Science Club
STU0192,Leena Agrawal,Female,19,98,47,43,89,67,344,68.8,84.48,Drama
STU0193,Sneha Yohannan,Female,18,14,39,26,65,83,227,45.4,87.45,None
STU0194,Rushil Sanghvi,Male,20,17,15,66,24,94,216,43.2,93.14,Drama
STU0195,Ekavir Bumb,Male,19,82,13,37,61,39,232,46.4,68.68,None
STU0196,Ranveer Gade,Male,21,96,32,4,10,87,229,45.8,79.52,Music
STU0197,Chakrika Bahl,Female,18,31,3,34,21,0,89,17.8,87.06,Music
STU0198,Raghav Dani,Male,20,36,7,59,68,71,241,48.2,94.53,None
STU0199,Zinal Ram,Female,18,7,55,93,79,38,272,54.4,89.26,None
STU0200,Zarna Kant,Female,19,1,79,75,4,77,236,47.2,92.01,Drama
STU0201,Mitali Varma,Female,18,14,25,13,93,12,157,31.4,91.13,Dance
STU0202,Ekanta Kata,Female,19,24,35,44,100,24,227,45.4,98.38,Drama
STU0203,Adweta Gopal,Female,19,79,90,77,21,97,364,72.8,72.63,Drama
STU0204,Jacob Deshmukh,Male,22,36,11,15,52,14,128,25.6,84.35,Sports
STU0205,Azad Mohan,Male,22,77,54,58,72,7,268,53.6,81.05,Drama
STU0206,Vaishnavi Sekhon,Female,21,90,18,62,93,31,294,58.8,70.69,Music
STU0207,Neel Muni,Male,21,41,25,56,20,55,197,39.4,93.93,Music
STU0208,Shivani Jhaveri,Female,21,56,47,78,22,96,299,59.8,79.45,Drama
STU0209,Varsha Lall,Female,18,24,7,18,59,94,202,40.4,69.87,Sports
STU0210,Rudra Modi,Male,22,42,72,4,25,51,194,38.8,68.8,Sports
STU0211,Tanay Sani,Male,18,25,6,78,62,71,242,48.4,83.88,Music
STU0212,Maanav Dar,Male,20,47,56,33,47,85,268,53.6,82.84,Dance
STU0213,Upadhriti Yohannan,Female,18,48,100,28,100,86,362,72.4,96.75,Sports
STU0214,Nathaniel Jaggi,Male,21,10,42,59,81,17,209,41.8,80.34,Drama
STU0215,Yahvi Mitra,Female,21,46,3,4,8,32,93,18.6,78.41,Music
STU0216,Tejas Bhalla,Male,18,53,41,90,31,48,263,52.6,99.16,Science Club
STU0217,Banjeet Talwar,Male,22,4,49,11,18,65,147,29.4,78.8,Sports
STU0218,Harshil Buch,Male,18,24,72,23,24,70,213,42.6,87.61,None
STU0219,Isaiah Choudhury,Male,18,38,17,68,53,41,217,43.4,79.04,Dance
STU0220,Wriddhish Barman,Male,19,5,12,61,18,57,153,30.6,63.67,Dance
STU0221,Bhavini Hora,Female,18,43,9,100,64,93,309,61.8,98.89,None
STU0222,Qasim Yogi,Male,22,56,29,97,86,74,342,68.4,60.72,None
STU0223,Maanav Dugal,Male,19,33,57,94,89,19,292,58.4,69.94,Dance
STU0224,Damyanti Pandya,Female,18,53,8,48,86,62,257,51.4,82.28,None
STU0225,Kiaan Basak,Male,18,3,94,87,6,20,210,42,71.76,Drama
STU0226,Oscar Kapoor,Male,20,94,74,3,11,33,215,43,93.16,Sports
STU0227,Omisha Mander,Female,19,40,9,14,11,91,165,33,97.32,Drama
STU0228,Lajita Buch,Female,21,56,80,84,11,25,256,51.2,72.78,Drama
STU0229,Tarak Oak,Male,21,100,37,35,9,88,269,53.8,94.4,Drama
STU0230,Ucchal Pant,Female,22,11,94,64,28,42,239,47.8,69.44,Music
STU0231,Anya Shenoy,Female,21,84,77,32,20,75,288,57.6,70.7,None
STU0232,Rachit Varty,Male,19,84,28,20,56,17,205,41,64.84,Sports
STU0233,Ubika Sarkar,Female,20,82,28,38,44,52,244,48.8,60.27,Drama
STU0234,Mahika Apte,Female,20,18,24,22,38,83,185,37,81.42,Science Club
STU0235,Neel Thakkar,Male,22,45,19,48,49,14,175,35,93.59,Drama
STU0236,Aditya Sem,Male,17,89,49,81,95,7,321,64.2,62.12,Sports
STU0237,Maanav Dave,Male,17,64,94,12,90,31,291,58.2,75.88,Science Club
STU0238,Teerth Keer,Male,17,37,75,17,24,62,215,43,83.49,Music
STU0239,Forum Kant,Female,22,34,84,59,29,34,240,48,80.88,Science Club
STU0240,Lajita Kapadia,Female,20,40,41,79,77,73,310,62,78.38,Drama
STU0241,Gagan Sengupta,Male,20,60,38,87,68,2,255,51,76.48,Dance
STU0242,Ekanta Pandit,Female,20,7,48,68,59,76,258,51.6,93.45,Sports
STU0243,Bhavya Dey,Female,19,61,77,83,0,13,234,46.8,89,Dance
STU0244,Veda Arya,Female,19,85,89,85,24,18,301,60.2,63.16,Dance
STU0245,Chanakya Buch,Male,17,34,56,87,26,38,241,48.2,88.45,Drama
STU0246,Ati Mahajan,Female,17,76,38,35,90,66,305,61,92.72,Sports
STU0247,Odika Sachdeva,Female,19,34,10,3,94,51,192,38.4,60.92,Drama
STU0248,Gayathri Pandey,Female,20,3,37,81,14,18,153,30.6,86.77,Sports
STU0249,Qushi Malhotra,Female,20,65,55,62,51,21,254,50.8,76.25,Sports
STU0250,Nakul Dhingra,Male,21,24,49,45,54,85,257,51.4,89.09,Drama
STU0251,Jeremiah Dalal,Male,21,47,74,85,76,51,333,66.6,89.03,Sports
STU0252,Nikita Narain,Female,21,100,1,78,63,23,265,53,66.24,Music
STU0253,Brijesh Soni,Male,19,70,74,32,86,52,314,62.8,64.53,Drama
STU0254,Atharv Mall,Male,20,65,25,4,93,65,252,50.4,80.12,None
STU0255,Ikshita Sethi,Female,17,49,95,13,86,37,280,56,89.9,Dance
STU0256,Kabir Dugar,Male,19,14,68,52,0,37,171,34.2,93.26,None
STU0257,Zarna Dasgupta,Female,17,37,13,60,83,25,218,43.6,71.37,Dance
STU0258,Omya Dhillon,Female,17,34,43,77,45,94,293,58.6,82.01,Sports
STU0259,Rajata Patil,Female,22,30,83,75,96,40,324,64.8,95.39,Music
STU0260,Aryan Doctor,Male,19,26,1,43,46,6,122,24.4,94.42,None
STU0261,Manya Kakar,Female,18,44,20,71,58,4,197,39.4,69.9,Sports
STU0262,Nandini Garde,Female,20,44,70,65,50,75,304,60.8,71.97,Sports
STU0263,Raksha Singhal,Female,21,56,87,83,14,51,291,58.2,96.18,Sports
STU0264,Ekapad Konda,Male,22,32,91,58,64,78,323,64.6,75.94,Drama
STU0265,Naksh Sampath,Male,18,71,82,97,69,82,401,80.2,91.27,Dance
STU0266,Nikita Ahluwalia,Female,21,18,89,60,21,7,195,39,69.57,None
STU0267,Vansha Bhakta,Female,17,23,53,71,59,4,210,42,61.75,Sports
STU0268,Omkaar Gill,Male,21,24,76,31,74,89,294,58.8,85.08,Sports
STU0269,Amara Zacharia,Female,21,87,9,55,76,96,323,64.6,70.06,None
STU0270,Tanish Sane,Male,20,84,60,87,0,58,289,57.8,70.35,Sports
STU0271,Jatin Sem,Male,19,0,75,3,43,95,216,43.2,92.06,Dance
STU0272,Mohini Setty,Female,21,11,55,44,10,49,169,33.8,87.66,Sports
STU0273,Daksh Bhatt,Male,17,50,43,49,99,80,321,64.2,76.21,Drama
STU0274,Vedant Varkey,Male,20,76,63,59,51,46,295,59,87.69,Drama
STU0275,Balendra Bhattacharyya,Male,21,50,54,95,26,87,312,62.4,68.84,Drama
STU0276,Anmol Comar,Male,19,4,93,24,0,15,136,27.2,69.55,Dance
STU0277,Faras Divan,Male,17,77,99,32,46,19,273,54.6,99.81,Sports
STU0278,Vasatika Dave,Female,18,91,9,15,0,49,164,32.8,77.9,Drama
STU0279,Yash Ramachandran,Male,18,5,84,89,27,20,225,45,85.55,Drama
STU0280,Ishita Chacko,Female,19,30,80,89,86,33,318,63.6,97.84,Drama
STU0281,Imaran Sachar,Male,22,95,0,91,21,36,243,48.6,86.43,Dance
STU0282,Kavya Walla,Female,21,2,61,90,69,37,259,51.8,89.03,Science Club
STU0283,Nidra Savant,Female,22,57,81,67,84,20,309,61.8,86.65,Science Club
STU0284,Bahadurjit Divan,Male,19,21,56,88,15,71,251,50.2,93.37,Drama
STU0285,Deepa Varkey,Female,19,87,11,42,50,58,248,49.6,82.22,Science Club
STU0286,Janaki Sankaran,Female,22,54,33,71,58,15,231,46.2,76.37,Dance
STU0287,Devika Bawa,Female,18,34,2,94,20,6,156,31.2,94.76,Music
STU0288,Ekta Sani,Female,19,2,66,20,91,32,211,42.2,95.22,Sports
STU0289,Nitesh Ramanathan,Male,18,44,55,82,50,72,303,60.6,97.16,Drama
STU0290,Champak Bassi,Male,20,70,37,33,79,8,227,45.4,90.34,Dance
STU0291,Yahvi Rattan,Female,20,41,6,25,3,88,163,32.6,72.47,Drama
STU0292,Yashvi Pillay,Female,18,60,40,68,68,10,246,49.2,66.96,Science Club
STU0293,Idika Purohit,Female,21,88,63,37,83,53,324,64.8,91.71,Dance
STU0294,Gaurang Modi,Male,20,0,100,78,46,58,282,56.4,75.35,Dance
STU0295,Arya Chacko,Female,18,33,22,47,53,7,162,32.4,66.62,Music
STU0296,Panini Srivastava,Female,18,19,10,78,17,25,149,29.8,62.45,Drama
STU0297,Benjamin Varty,Male,21,48,29,43,29,62,211,42.2,97.69,Music
STU0298,Logan Contractor,Male,19,0,36,50,79,8,173,34.6,79.34,Drama
STU0299,Faras Varughese,Male,19,26,93,19,25,96,259,51.8,87.65,Music
STU0300,Brijesh Gulati,Male,22,30,58,50,73,77,288,57.6,84.85,Science Club
STU0301,Gautami Boase,Female,17,48,2,59,33,19,161,32.2,86.96,None
STU0302,Yuvraj Narula,Male,21,79,99,22,54,93,347,69.4,73.85,Dance
STU0303,Gagan Pant,Male,22,70,100,87,18,33,308,61.6,86.25,None
STU0304,Ekansh Shroff,Male,19,44,49,71,39,99,302,60.4,94.55,Music
STU0305,Veda Date,Female,18,84,8,19,62,56,229,45.8,84.23,Sports
STU0306,Chakradev Luthra,Male,17,16,82,58,95,58,309,61.8,60.58,Dance
STU0307,Unnati Dutt,Female,17,34,12,20,41,99,206,41.2,71.15,Science Club
STU0308,Yochana Virk,Female,17,6,39,16,75,76,212,42.4,70.98,None
STU0309,Chasmum Virk,Female,20,86,77,96,41,43,343,68.6,97.78,Music
STU0310,Shivansh Pradhan,Male,22,90,10,91,36,53,280,56,74.63,Sports
STU0311,Simon Kumer,Male,19,99,23,93,86,23,324,64.8,82.54,Sports
STU0312,Bakhshi Shah,Male,21,73,45,66,92,18,294,58.8,78.26,Music
STU0313,Januja Kala,Female,20,72,41,17,49,19,198,39.6,92.16,Sports
STU0314,Kala Upadhyay,Female,20,67,44,57,15,13,196,39.2,77.24,Dance
STU0315,Krish Hegde,Male,17,11,23,32,7,5,78,15.6,63.17,Science Club
STU0316,Harrison Wagle,Male,22,94,92,57,40,23,306,61.2,83.51,Music
STU0317,Nakul Trivedi,Male,22,100,93,100,71,73,437,87.4,92.92,Music
STU0318,Oscar Dara,Male,21,56,76,38,70,28,268,53.6,62.56,Science Club
STU0319,Chasmum Mukhopadhyay,Female,22,18,76,37,14,61,206,41.2,99.97,Science Club
STU0320,Gagan Bhandari,Male,18,91,26,35,95,5,252,50.4,61.33,Sports
STU0321,Bhavna Salvi,Female,22,26,96,15,78,40,255,51,80.93,Science Club
STU0322,Tanveer Yadav,Male,20,86,27,34,30,51,228,45.6,69.24,None
STU0323,Neelima Toor,Female,19,40,86,83,63,63,335,67,73.71,Drama
STU0324,Chakradhar Sabharwal,Male,22,53,99,75,25,62,314,62.8,71.68,None
STU0325,Yahvi Ramachandran,Female,21,7,85,8,78,67,245,49,98.58,None
