Date,Transaction ID,Customer Name,Product,Category,Quantity,Unit Price,Total Amount,Payment Method
11/02/25,9753605105,Kaitlyn Campbell,Subject,Frozen Foods,2,278.85,557.7,Debit Card
22/02/25,9089460955,James Wright,Fund,Household,2,152.01,304.02,UPI
24/03/25,5842158124,Nicole Winters,Thus,Personal Care,3,447.85,1343.55,Net Banking
08/02/25,9285889498,Anthony Henderson,She,Household,3,17.66,52.98,UPI
03/04/25,7746130343,Matthew Foster,Tell,Beverages,9,421.67,3795.03,Net Banking
20/01/25,1971173819,Paige Black,Every,Fruits & Vegetables,5,401,2005,Cash
14/03/25,4385649940,Veronica Johns,Development,Frozen Foods,9,432.25,3890.25,Cash
31/01/25,8677491741,Lindsay Douglas,Technology,Personal Care,4,160.67,642.68,Net Banking
29/03/25,7603676518,Barbara Myers,Once,Frozen Foods,8,234.81,1878.48,UPI
19/03/25,7598517623,Melissa Diaz,Recognize,Frozen Foods,9,344.61,3101.49,Cash
18/02/25,2637316311,Jessica Morris,Even,Frozen Foods,6,150.11,900.66,Net Banking
10/01/25,3803760885,Craig Mckee,Question,Fruits & Vegetables,9,280.64,2525.76,Cash
28/01/25,5987454397,Rachel Martinez,Sort,Beverages,8,399.16,3193.28,Debit Card
01/03/25,6442789735,Steve Marshall,Understand,Snacks,1,268.73,268.73,Cash
01/03/25,3881447237,Laura Henry,Lawyer,Personal Care,5,428.69,2143.45,UPI
29/01/25,1566875002,Richard Taylor,Thank,Frozen Foods,1,210.27,210.27,Net Banking
04/03/25,3190001373,Kenneth Perry,Keep,Snacks,9,370.9,3338.1,Debit Card
10/01/25,5558151528,Mary Smith,Control,Personal Care,2,34.87,69.74,Cash
03/04/25,8285912627,Stephanie Love,Election,Household,5,211.95,1059.75,Net Banking
10/03/25,2729013043,Heather Eaton,Live,Bakery,2,145.58,291.16,Debit Card
21/01/25,7241616051,Mr. Daniel Adams,Leg,Fruits & Vegetables,8,363.07,2904.56,Cash
07/02/25,1579551015,Alex Blevins,Trial,Fruits & Vegetables,6,130.09,780.54,Cash
10/02/25,8281115274,Robin Walter,Near,Beverages,7,435.74,3050.18,Credit Card
08/01/25,4664144536,Sarah Ward,Evening,Personal Care,1,310.15,310.15,Credit Card
17/01/25,2356552903,Glenn Sanchez,Discover,Personal Care,4,427.91,1711.64,Debit Card
09/04/25,9290234586,Lindsay Clark,Article,Beverages,9,157.93,1421.37,Credit Card
31/01/25,2517051482,Yvonne Jones,Place,Frozen Foods,9,83.71,753.39,Cash
12/03/25,2147066527,Matthew Brown,Class,Household,3,214.42,643.26,Net Banking
09/02/25,8599467903,Dan Watkins,Standard,Dairy,1,411.93,411.93,Net Banking
14/03/25,6628404796,Ray Jones,Artist,Fruits & Vegetables,10,260.11,2601.1,Credit Card
02/04/25,6299177159,Christopher Hopkins,Food,Frozen Foods,5,216.66,1083.3,Cash
15/01/25,8581655935,Dr. Stephen Price,Produce,Personal Care,7,498.3,3488.1,UPI
31/03/25,6427322440,Robert Smith,Play,Snacks,6,80.87,485.22,Net Banking
07/03/25,7353193885,Stephanie Wallace,Recent,Snacks,8,70.93,567.44,Cash
22/02/25,6700009327,Todd Vasquez,Mission,Fruits & Vegetables,7,232.44,1627.08,Debit Card
14/01/25,1543992030,Jamie Howard,Season,Snacks,6,260.39,1562.34,UPI
18/01/25,2195503754,Damon Christian,Black,Bakery,9,232.09,2088.81,UPI
28/03/25,6936530003,Michelle Hill,Join,Beverages,4,259.46,1037.84,Debit Card
23/02/25,7422859620,Dr. Joshua Mcdonald Jr.,Apply,Personal Care,9,476.43,4287.87,Cash
08/01/25,3181623028,Scott Jones,Without,Frozen Foods,7,310.31,2172.17,Debit Card
25/01/25,1866018678,Maria Ballard,Hour,Bakery,5,406.63,2033.15,Credit Card
02/02/25,2410219609,Anthony Miles,Watch,Fruits & Vegetables,1,280.45,280.45,Net Banking
08/04/25,3238362829,Jennifer Crawford,Produce,Frozen Foods,4,373.52,1494.08,UPI
15/03/25,3700857621,William Russell,Democratic,Beverages,10,32.65,326.5,UPI
25/03/25,3299702885,Ronald Reeves,Across,Frozen Foods,8,168.56,1348.48,Net Banking
01/03/25,5467415890,Travis Schmitt,Study,Beverages,4,212.3,849.2,Cash
30/01/25,9021382072,Jennifer Armstrong,Out,Household,6,290.89,1745.34,Credit Card
12/01/25,2096975501,Katherine Baldwin,Other,Household,7,409.02,2863.14,Net Banking
14/01/25,3731597535,Michael Clarke,Blue,Personal Care,2,357.96,715.92,Cash
26/01/25,2306786054,Michael Scott,Why,Household,1,206.22,206.22,UPI
19/01/25,2886695484,Tracie Hayes MD,Responsibility,Personal Care,4,296.36,1185.44,Net Banking
25/01/25,7654651691,Rachel Williams,Drive,Snacks,3,164.52,493.56,Credit Card
12/02/25,1682162399,Adrienne Smith,Lay,Frozen Foods,9,57.8,520.2,UPI
18/03/25,3079911501,Hailey Gomez,Individual,Frozen Foods,6,482.96,2897.76,Debit Card
14/01/25,2061346103,Jerome Kelly,Commercial,Beverages,5,300.55,1502.75,Debit Card
11/02/25,9901136391,Gary Smith,Tend,Household,4,404.33,1617.32,UPI
31/01/25,7637271366,Bryan Anderson,Trip,Beverages,2,259.8,519.6,Net Banking
12/03/25,3507652403,Evan Alvarez,Way,Dairy,1,302.02,302.02,Cash
28/02/25,6820162578,Theresa Hart,Inside,Household,9,327.68,2949.12,Credit Card
24/02/25,2970272351,Leslie Porter,Concern,Personal Care,2,221.58,443.16,Net Banking
19/03/25,2574625298,Lauren Sanchez,Listen,Personal Care,4,185.56,742.24,Credit Card
16/01/25,3866035581,John Tyler,Thousand,Snacks,10,491.08,4910.8,Net Banking
27/02/25,7078040941,Laura Snyder,Team,Snacks,5,286.35,1431.75,Credit Card
27/03/25,3144736653,Frank Morgan,Moment,Frozen Foods,7,111.1,777.7,Credit Card
19/01/25,9101348724,Chelsea Oneill,Pm,Household,10,125.38,1253.8,Credit Card
09/03/25,8153759700,Marilyn Johnson,Purpose,Snacks,4,56.16,224.64,Debit Card
09/02/25,9642053236,Eric Wilson,Here,Bakery,3,309.42,928.26,Net Banking
10/03/25,6630171313,Robert Caldwell,Dark,Dairy,2,192.68,385.36,Debit Card
03/02/25,7043817207,Kristin Ramirez,Card,Personal Care,5,83.2,416,Cash
06/04/25,2846047336,Johnny Porter,Address,Household,9,47.6,428.4,Credit Card
02/03/25,2000177857,Kevin Nielsen III,Memory,Dairy,6,211.89,1271.34,UPI
03/03/25,4663215960,Thomas Hall,Law,Snacks,8,333.26,2666.08,Net Banking
27/03/25,4436239236,Richard James,Firm,Personal Care,8,441.96,3535.68,Net Banking
10/02/25,7832015657,Patrick Garcia,Buy,Bakery,10,323.94,3239.4,Net Banking
11/02/25,1293863112,Joshua Dalton,Nor,Frozen Foods,3,355.52,1066.56,Debit Card
04/03/25,6676810049,Kathryn Obrien,Step,Personal Care,2,312.97,625.94,Debit Card
26/01/25,5309815173,Stephanie Baker,Performance,Dairy,10,231.31,2313.1,UPI
04/04/25,7523262567,Scott Peters,Past,Household,1,294.58,294.58,Cash
11/03/25,6673519375,Heather Davis,Stage,Household,10,234.71,2347.1,Credit Card
26/02/25,3654893777,Mark Garcia,Local,Personal Care,3,280.48,841.44,Net Banking
02/03/25,1733897937,Kim Burgess,Throughout,Dairy,9,450.93,4058.37,Cash
26/02/25,9574712776,Brooke Bowers,Author,Frozen Foods,7,69.91,489.37,Debit Card
08/04/25,1635478457,Alexis Malone,Music,Snacks,9,402.69,3624.21,Cash
14/01/25,1443361668,Katrina Prince,Design,Household,9,384.13,3457.17,UPI
19/03/25,4995254496,Nicholas Morales,There,Beverages,2,279.6,559.2,UPI
15/01/25,2919401322,William Newton,Spring,Frozen Foods,7,244.62,1712.34,Net Banking
22/01/25,1446208757,Timothy Marquez,Whether,Bakery,3,105.56,316.68,Credit Card
31/03/25,7103601880,Ronald Rodriguez,Lay,Personal Care,1,233.15,233.15,Debit Card
03/02/25,2413717063,Julie Boyd,Medical,Personal Care,4,471.69,1886.76,Cash
31/03/25,4485645598,Joseph Perry,All,Snacks,6,436.49,2618.94,UPI
10/02/25,9368135290,Kyle Thompson,Try,Bakery,9,148.76,1338.84,Net Banking
12/02/25,3382551526,Ronald Mcgee,Matter,Frozen Foods,8,77.11,616.88,Credit Card
08/02/25,4994228458,Javier Carter,Central,Personal Care,9,162.41,1461.69,Debit Card
05/04/25,6663389108,James Williamson,Region,Snacks,9,136.67,1230.03,Credit Card
20/03/25,9766585004,Frederick Obrien,Machine,Beverages,9,300.99,2708.91,Cash
25/03/25,9614962495,Nicolas Lewis,True,Bakery,10,488.42,4884.2,Net Banking
27/02/25,3245658564,Jason Castro,Enter,Household,4,430.36,1721.44,UPI
21/01/25,4557479071,Kelly Stokes,Few,Household,2,357.14,714.28,Debit Card
03/03/25,5204865372,Katherine Cooke,Fast,Snacks,2,407.4,814.8,Net Banking
09/02/25,6860880314,Kimberly Dixon,Computer,Dairy,4,98.59,394.36,Credit Card
12/02/25,8770699817,Tiffany Ingram,Foreign,Fruits & Vegetables,7,13.09,91.63,Net Banking
20/01/25,7504599622,Amanda Doyle,Public,Dairy,8,217.58,1740.64,Net Banking
05/03/25,2746891975,Jennifer James,Recent,Frozen Foods,5,353.86,1769.3,Net Banking
02/02/25,1718032286,Steven Hartman,Power,Frozen Foods,9,209.68,1887.12,Cash
02/04/25,4349621009,Timothy Brown,Carry,Bakery,2,251.78,503.56,Cash
05/03/25,6772915773,Dawn Sims,Of,Bakery,8,419.1,3352.8,Cash
22/02/25,4596433080,David Morris,Alone,Personal Care,8,46.7,373.6,Credit Card
14/01/25,4858889832,Michelle Hall,Turn,Personal Care,7,488.8,3421.6,UPI
06/04/25,6479839797,Michele Solomon,Strong,Household,7,287.12,2009.84,Credit Card
02/03/25,7647149391,Raymond Flores,Garden,Frozen Foods,7,113.86,797.02,Cash
11/02/25,3339405677,Beth Krueger,Practice,Snacks,1,403,403,Net Banking
23/03/25,6711746731,Robin Greene,See,Bakery,6,139.68,838.08,Net Banking
25/01/25,4202581302,Jason Adams,Family,Bakery,10,234.48,2344.8,UPI
18/01/25,2377105666,Alyssa Park,Newspaper,Bakery,10,118.3,1183,Credit Card
01/04/25,6290970545,Stephen Wiley,Degree,Snacks,9,385.36,3468.24,UPI
16/03/25,2775667820,Sean Johnson,Miss,Personal Care,2,323.76,647.52,Debit Card
26/03/25,4121235680,Brett White,Smile,Personal Care,9,49.34,444.06,Debit Card
17/02/25,9043942946,Tracy Burton,Another,Bakery,7,165.59,1159.13,Credit Card
01/03/25,3846330984,Meagan Lopez,Water,Fruits & Vegetables,4,372.34,1489.36,Credit Card
09/03/25,4360136634,Katelyn Wolf,Bit,Snacks,1,487.03,487.03,Cash
30/01/25,2907131894,Logan Duran,Hard,Beverages,10,229.08,2290.8,Cash
20/03/25,9486428072,Barry Brock,Take,Snacks,3,95.11,285.33,Credit Card
15/03/25,2069264359,Paul Valencia,Lawyer,Frozen Foods,2,447.03,894.06,Cash
15/01/25,1796892510,Mary Wilson,Computer,Fruits & Vegetables,9,107.89,971.01,Cash
18/02/25,9784641659,Monica Jones,Expert,Household,5,202.14,1010.7,Debit Card
16/02/25,6896534071,Allison Blake,Season,Fruits & Vegetables,3,423.74,1271.22,Net Banking
05/04/25,9454304993,Austin Lane,Popular,Beverages,10,16.68,166.8,Net Banking
10/01/25,2671835935,Jessica Mckinney,Republican,Snacks,8,166.33,1330.64,Net Banking
13/01/25,2787508457,Justin Murray,Position,Household,5,224.22,1121.1,UPI
02/03/25,1867026278,Sarah Eaton,Heart,Household,1,469.91,469.91,Debit Card
21/01/25,5508188582,Amber Roberts,Method,Household,8,104.56,836.48,Debit Card
25/02/25,4959080949,Catherine Rogers,Affect,Personal Care,6,38.96,233.76,Debit Card
28/03/25,6312619026,Scott Ball,Building,Frozen Foods,5,485.85,2429.25,Cash
13/03/25,4908557231,Alexander Smith,Three,Household,1,164.14,164.14,Credit Card
03/02/25,7968847021,Thomas Landry,Season,Personal Care,7,467.61,3273.27,UPI
27/02/25,3782068689,Dr. Lauren Rodriguez DDS,Tend,Frozen Foods,6,178.02,1068.12,Net Banking
29/01/25,4496512556,Nicholas Washington,Evidence,Snacks,10,186.86,1868.6,Debit Card
05/04/25,1152751559,Mr. Gregory Chapman MD,Hot,Beverages,3,148.08,444.24,Net Banking
22/03/25,7489850082,Gregory Norton,Discuss,Snacks,6,251.28,1507.68,Cash
27/03/25,2418499780,Victoria Smith,Draw,Bakery,3,272.87,818.61,Credit Card
24/02/25,1884745935,Ivan Contreras,Him,Frozen Foods,9,478.16,4303.44,UPI
01/03/25,6251134466,Cody Hernandez,Democratic,Frozen Foods,2,361.71,723.42,Credit Card
15/02/25,9939017740,Sarah Blackburn,Point,Household,8,461.85,3694.8,Net Banking
03/04/25,5746928229,Ryan Thomas DDS,Process,Dairy,1,359.55,359.55,Debit Card
26/01/25,4608826500,Aaron Khan,Feel,Snacks,9,246.59,2219.31,Net Banking
10/03/25,5152515564,David Martin,Situation,Dairy,5,20.35,101.75,UPI
24/03/25,9086921485,Nathaniel Camacho,Learn,Household,6,262.64,1575.84,UPI
02/02/25,1253437476,Melissa Foster,Indicate,Bakery,3,143.8,431.4,Debit Card
04/02/25,2770919175,Mark Benson MD,Woman,Fruits & Vegetables,1,62.35,62.35,UPI
08/01/25,7435701774,Jesse Rose,Few,Frozen Foods,9,285.44,2568.96,Cash
29/01/25,5971463553,Nancy Davis,Continue,Dairy,5,415.6,2078,Net Banking
24/02/25,9307616198,Brian Baker,Weight,Frozen Foods,7,103.62,725.34,Credit Card
14/01/25,4858192102,Christina Coffey,Walk,Frozen Foods,1,271.03,271.03,Debit Card
20/01/25,7074275763,Tonya Evans,Grow,Household,9,324.69,2922.21,Net Banking
01/04/25,8075479683,Joshua Davis,Blue,Snacks,10,244.03,2440.3,Net Banking
27/01/25,1986010381,Jessica Harper,Stage,Frozen Foods,3,88.4,265.2,UPI
05/02/25,7357840736,Sara Gross,Point,Personal Care,6,386.32,2317.92,Cash
31/01/25,1045892475,Brian Ryan,Lead,Beverages,1,169.61,169.61,UPI
19/01/25,1053455156,Andre Reed,Several,Dairy,1,16.3,16.3,Cash
21/02/25,3357835631,Matthew Mcintyre,War,Beverages,2,464.63,929.26,Net Banking
19/02/25,5767297215,Donna Nelson,Sell,Frozen Foods,6,343.2,2059.2,Debit Card
30/01/25,5899057036,Andrew Chavez,Them,Frozen Foods,4,262.28,1049.12,UPI
15/02/25,8833273474,Cheryl Reed,Would,Fruits & Vegetables,9,12.77,114.93,UPI
05/04/25,3336039052,Anthony Smith,Deep,Dairy,2,216.03,432.06,UPI
03/03/25,4220506438,Debra Henry,Finally,Household,6,450.57,2703.42,Credit Card
25/01/25,7597760591,Joanna Nunez,Suffer,Personal Care,5,496.97,2484.85,Credit Card
16/03/25,6124844676,Matthew Barr,It,Snacks,5,213.23,1066.15,UPI
20/01/25,5335572832,Mike Gibson,Close,Beverages,3,371.15,1113.45,Cash
26/03/25,9268799372,Taylor Bailey,Magazine,Snacks,5,450.51,2252.55,Credit Card
15/01/25,1286004426,Christopher Johnson,Continue,Bakery,5,118.32,591.6,UPI
05/04/25,5012662397,Michelle Mcclure,Science,Bakery,9,366.31,3296.79,Net Banking
10/01/25,4265128114,Brandon Cameron,Fund,Snacks,8,499.11,3992.88,Credit Card
12/03/25,2479244564,Norman Merritt,Education,Frozen Foods,10,42.39,423.9,Net Banking
09/01/25,1750384949,Jacqueline Robinson,Bag,Frozen Foods,5,314.18,1570.9,Cash
25/03/25,5074690006,John Moran,Side,Beverages,5,232.16,1160.8,Debit Card
25/01/25,1867697295,Victoria Johnson,Record,Personal Care,6,416.83,2500.98,Cash
09/01/25,8636406681,David Harmon,Director,Dairy,9,391.75,3525.75,Cash
04/03/25,6951558672,Hunter Rasmussen,Sign,Dairy,6,118.21,709.26,Debit Card
17/01/25,6313825652,Mark Jones,Design,Beverages,2,122.86,245.72,Cash
12/01/25,4412202410,Lisa Porter,Crime,Personal Care,4,376.25,1505,Credit Card
03/03/25,6560141843,David Johnson,Protect,Frozen Foods,9,188.71,1698.39,UPI
19/03/25,5333110443,Brittany Garcia,Sort,Personal Care,1,225.39,225.39,Credit Card
18/01/25,5890241184,Paul Hernandez,Certain,Bakery,4,167.43,669.72,Net Banking
23/02/25,1536826150,Eric Kelly,Wide,Household,2,117.19,234.38,Credit Card
19/01/25,9465056893,Jonathan Edwards,List,Personal Care,1,193.81,193.81,Credit Card
30/01/25,7774839020,Jeffery Sutton,Ten,Dairy,9,19.36,174.24,Credit Card
03/03/25,8861046048,Andrea Shaw,Move,Household,8,57.9,463.2,UPI
05/04/25,4003760757,Amanda Carson,Development,Dairy,10,437.21,4372.1,UPI
02/04/25,1250236119,Melissa Perry,Form,Snacks,7,180.75,1265.25,Net Banking
10/03/25,6918544633,Jacob Thomas,Ball,Frozen Foods,2,63.44,126.88,Cash
15/02/25,7578035226,Crystal Jensen,Treatment,Household,1,269.57,269.57,Cash
02/03/25,4593462191,Paul Marshall,Carry,Snacks,8,42.51,340.08,UPI
02/03/25,2541724966,John Benjamin,Resource,Bakery,4,183.96,735.84,Credit Card
03/04/25,2307766074,Katherine Bailey,Short,Personal Care,7,203.53,1424.71,Debit Card
04/02/25,5742357281,Krystal Leblanc,Small,Bakery,6,240.27,1441.62,Credit Card
29/03/25,3015227023,Evan Le,Over,Bakery,6,451.84,2711.04,UPI
06/04/25,9107103133,Victor Good,Leg,Snacks,3,365.82,1097.46,Cash
24/03/25,4622673578,Michael Goodwin,Resource,Fruits & Vegetables,4,441.54,1766.16,Net Banking
21/01/25,6421253784,Nicholas Gordon,Customer,Household,6,171.94,1031.64,Credit Card
17/03/25,5632770145,Richard Carlson,Decade,Bakery,9,37.22,334.98,Cash
10/02/25,2869344780,Jonathan Rodriguez,Despite,Frozen Foods,4,338.63,1354.52,Net Banking
06/04/25,3062180853,Alex Wilkinson,Street,Bakery,5,320.77,1603.85,Net Banking
15/03/25,3405976461,Kimberly Weber,Then,Frozen Foods,5,383.66,1918.3,Debit Card
07/04/25,3152970860,Renee Stephens,Red,Personal Care,9,200.65,1805.85,Debit Card
18/01/25,5215882659,Reginald Marquez,Who,Bakery,2,30.99,61.98,UPI
04/04/25,4098895579,Ryan Meadows,Speak,Frozen Foods,5,290.78,1453.9,Cash
25/01/25,2945572718,Jason Gonzalez,True,Bakery,4,362.36,1449.44,Cash
22/03/25,2218062243,Michelle Howard,Safe,Beverages,7,31.92,223.44,Credit Card
05/03/25,1985452017,Erica Austin,Unit,Snacks,8,396.73,3173.84,Net Banking
22/02/25,8830511980,Rachael Nelson,Foot,Dairy,4,360.75,1443,Cash
16/02/25,4874354619,Angela Spencer,High,Household,4,482.51,1930.04,Cash
23/01/25,3924207905,Jeffery Carson,Democratic,Beverages,7,180.67,1264.69,Net Banking
11/02/25,8156757658,Margaret Gordon,Some,Dairy,8,198.86,1590.88,Cash
31/03/25,8627608471,Christopher Garcia,Economic,Snacks,8,241.72,1933.76,Debit Card
24/01/25,9319028507,Preston Prince,Low,Frozen Foods,6,59.91,359.46,Cash
31/01/25,9295369999,Christopher Sweeney,Set,Household,3,50.11,150.33,Net Banking
09/01/25,2842319110,Brian Newton,Outside,Bakery,5,305.79,1528.95,UPI
06/02/25,2913683658,Robert Newman,Have,Household,9,150.52,1354.68,Credit Card
15/01/25,3353123151,Thomas Mullen,Purpose,Bakery,2,108.3,216.6,Cash
21/01/25,9003713734,Richard Wood,Organization,Dairy,10,57.18,571.8,Credit Card
01/03/25,1469382970,Brittany Bradley,Machine,Beverages,6,492.9,2957.4,Net Banking
28/03/25,9834822741,Kimberly Lawson,Style,Frozen Foods,4,106.06,424.24,UPI
27/03/25,5632904695,Amy Shannon,Need,Dairy,3,39.71,119.13,Debit Card
01/02/25,7219536799,Maria Watkins,Really,Personal Care,3,451.55,1354.65,Debit Card
20/03/25,5208777622,Daniel Brown,Clearly,Personal Care,2,49.74,99.48,UPI
12/02/25,1497499669,Brandon Hoffman,Have,Household,4,242.62,970.48,Cash
21/03/25,7825806449,Janet Dyer,Though,Beverages,10,246.81,2468.1,UPI
02/02/25,3991708278,Eric Stout,Tree,Fruits & Vegetables,8,488.97,3911.76,Debit Card
12/02/25,4498295781,Aaron White,Girl,Beverages,6,218.9,1313.4,Net Banking
18/01/25,2706905049,John Faulkner,Outside,Beverages,1,106.98,106.98,Cash
25/02/25,6907137580,Lorraine Serrano,Political,Dairy,8,168.98,1351.84,Credit Card
25/03/25,3664594808,Michael Shaw,Approach,Beverages,4,163.92,655.68,Net Banking
08/03/25,2031386762,Julie Boyle,Effort,Household,10,315.06,3150.6,Credit Card
25/02/25,9210237370,Benjamin Gill,World,Beverages,7,208.86,1462.02,Debit Card
29/03/25,2660481673,Melissa Morgan,Forget,Frozen Foods,4,291.96,1167.84,Debit Card
19/02/25,6005559603,Caitlin Harrison,Democratic,Dairy,10,275.01,2750.1,Cash
23/03/25,7959857565,Victoria Arroyo,Left,Beverages,3,415.47,1246.41,Net Banking
25/01/25,2332702521,Nicholas Carter,Hot,Frozen Foods,1,198.79,198.79,Credit Card
08/03/25,5187232383,Corey Ward,War,Household,2,475.37,950.74,Credit Card
01/04/25,9208265044,Martin Blair,North,Bakery,1,373.78,373.78,Cash
25/03/25,1284744079,Mark Mcdowell,Example,Personal Care,7,432.23,3025.61,Net Banking
04/02/25,5314910033,Joshua Bender,Catch,Snacks,7,408.49,2859.43,Credit Card
14/01/25,6514309669,Adrian Villarreal,Begin,Fruits & Vegetables,4,328.81,1315.24,Debit Card
08/02/25,2820801385,Kenneth Stevens,Sound,Bakery,6,170.5,1023,UPI
09/04/25,6556852627,Amy Martinez,Reach,Dairy,8,212.38,1699.04,Net Banking
30/01/25,9052084807,Alicia Sweeney,Child,Bakery,5,367.74,1838.7,UPI
09/04/25,3552362508,Timothy Walker,Fill,Bakery,8,242.37,1938.96,UPI
17/02/25,7150644914,Keith Smith,Fact,Fruits & Vegetables,9,10.45,94.05,Cash
16/03/25,1970596750,Andrew Boone,Step,Frozen Foods,7,76.02,532.14,Debit Card
08/01/25,8078409069,Kara Jackson,Write,Frozen Foods,5,307.9,1539.5,UPI
31/03/25,6406698335,Nicole Bender,Will,Dairy,7,391.67,2741.69,Credit Card
19/03/25,7786947626,Edward Foley MD,Happen,Household,7,218.87,1532.09,Cash
29/01/25,7811675381,Frank Holloway,Land,Beverages,9,225.35,2028.15,UPI
05/02/25,4368525725,Candace Jordan,Here,Bakery,2,455.48,910.96,Net Banking
31/03/25,5600532211,Suzanne Pitts,Well,Personal Care,9,411.3,3701.7,Net Banking
13/03/25,9804819661,Bradley Dickerson,Eye,Household,1,128.68,128.68,Credit Card
04/03/25,4888563990,Sarah Molina,Force,Frozen Foods,10,431.98,4319.8,Debit Card
27/03/25,3227863438,Taylor Porter,Hope,Beverages,3,109.23,327.69,Net Banking
07/03/25,1110720221,William Lutz,Near,Dairy,3,87.34,262.02,UPI
08/03/25,5835712590,Joseph Bass,None,Dairy,8,249.31,1994.48,Cash
20/03/25,1087058583,Bradley George,Goal,Personal Care,7,60.33,422.31,Net Banking
12/02/25,3071602903,Melissa Brock,Almost,Frozen Foods,2,389.99,779.98,Debit Card
09/04/25,6711885233,Jonathan Skinner,Watch,Snacks,9,320.13,2881.17,Cash
01/02/25,7575394477,Kristen Barrett,Could,Personal Care,6,350.24,2101.44,Net Banking
26/02/25,8292972175,Sharon Lewis,Build,Fruits & Vegetables,10,126.34,1263.4,UPI
07/04/25,3529687058,Tanya Herrera,Usually,Bakery,2,497.34,994.68,Credit Card
06/03/25,1751961608,Amber Goodman,Class,Personal Care,9,406.61,3659.49,Net Banking
19/03/25,5745613482,Allen Johnson,Two,Fruits & Vegetables,1,462.31,462.31,UPI
06/04/25,2448178438,Gabriela Waller,Between,Bakery,4,10.73,42.92,Credit Card
30/03/25,6424205568,Dwayne Bonilla,Individual,Household,6,276.6,1659.6,Cash
02/03/25,6084462732,Amber Johnson,Measure,Dairy,2,476.6,953.2,Cash
